,1y Target Est,52 Week Range,Ask,Avg. Volume,Beta (5Y Monthly),Bid,Date,Day's Range,EPS (TTM),Earnings Date,Ex-Dividend Date,Forward Dividend & Yield,Market Cap,Name,Open,PE Ratio (TTM),Previous Close,Sector,Ticker,Volume,5y Average Return,Average for Category,Category,Expense Ratio (net),Holdings Turnover,Inception Date,Last Cap Gain,Last Dividend,Morningstar Rating,Morningstar Risk Rating,Net Assets,Sustainability Rating,YTD Return,Yield
84,63.06,44.65 - 62.96,59.30 x 800,"2,048,385",1.07,58.62 x 800,06/08/2021,58.14 - 59.49,3.91,"Aug 04, 2021 - Aug 09, 2021","Jun 30, 2021",1.96 (3.33%),17.072B,Cardinal Health Inc.,58.95,15.06,58.90,Health Care,CAH,"3,566,736",,,,,,,,,,,,,,
85,140.60,84.70 - 138.66,115.27 x 800,"1,131,764",1.64,115.00 x 900,06/08/2021,113.11 - 115.87,4.52,"Jun 25, 2021",N/A,N/A (N/A),18.767B,Carmax Inc,114.52,25.45,114.56,Consumer Discretionary,KMX,"752,935",,,,,,,,,,,,,,
86,28.05,12.11 - 31.51,31.12 x 3000,"31,571,314",2.34,31.07 x 4000,06/08/2021,30.61 - 31.51,-13.02,"Jul 08, 2021 - Jul 12, 2021","Feb 20, 2020",N/A (N/A),37.002B,Carnival Corp.,31.11,N/A,30.89,Consumer Discretionary,CCL,"24,878,224",,,,,,,,,,,,,,
87,51.00,20.00 - 47.09,46.34 x 900,"6,262,821",N/A,46.33 x 1000,06/08/2021,45.79 - 46.46,N/A,"Apr 29, 2021","Apr 30, 2021",0.48 (1.05%),40.287B,Carrier Global,46.20,N/A,46.06,Industrials,CARR,"3,173,983",,,,,,,,,,,,,,
88,134.70,67.97 - 127.68,104.09 x 800,"1,093,879",1.44,104.19 x 800,06/08/2021,102.75 - 104.90,2.95,"Aug 30, 2021 - Sep 03, 2021",N/A,N/A (N/A),17.736B,Catalent,104.90,35.26,103.92,Health Care,CTLT,"550,925",,,,,,,,,,,,,,
89,240.10,118.01 - 246.69,240.09 x 2900,"2,974,398",0.92,239.45 x 900,06/08/2021,236.06 - 241.20,6.25,"Jul 29, 2021 - Aug 02, 2021","Apr 23, 2021",4.12 (1.72%),131.557B,Caterpillar Inc.,239.40,38.40,239.76,Industrials,CAT,"2,212,400",,,,,,,,,,,,,,
90,111.15,77.63 - 116.39,116.45 x 1200,"523,229",0.65,110.63 x 900,06/08/2021,111.24 - 115.30,4.55,"Jul 29, 2021 - Aug 02, 2021","May 27, 2021",1.68 (1.50%),11.997B,Cboe Global Markets,112.00,24.69,112.00,Financials,CBOE,"873,384",,,,,,,,,,,,,,
91,93.20,41.03 - 90.21,90.72 x 900,"1,591,273",1.50,89.44 x 1100,06/08/2021,87.44 - 89.89,2.49,"Jul 29, 2021 - Aug 02, 2021",N/A,N/A (N/A),30.011B,CBRE Group,87.63,35.89,87.74,Real Estate,CBRE,"1,355,452",,,,,,,,,,,,,,
92,193.89,105.87 - 184.58,173.57 x 1200,"815,443",1.11,166.46 x 800,06/08/2021,165.74 - 167.49,5.92,"Aug 03, 2021 - Aug 09, 2021","May 24, 2021",1.60 (0.97%),23.341B,CDW,166.50,28.13,165.76,Information Technology,CDW,"390,882",,,,,,,,,,,,,,
93,173.76,81.63 - 171.00,165.20 x 800,"758,984",1.23,165.06 x 800,06/08/2021,162.65 - 166.43,17.84,"Jul 26, 2021 - Jul 30, 2021","Apr 23, 2021",2.72 (1.65%),18.583B,Celanese,164.18,9.25,165.30,Materials,CE,"495,356",,,,,,,,,,,,,,
94,80.76,53.60 - 74.52,75.00 x 800,"4,017,106",0.48,64.00 x 1100,06/08/2021,71.17 - 72.07,4.19,"Jul 26, 2021 - Jul 30, 2021",N/A,N/A (N/A),41.695B,Centene Corporation,71.35,17.09,71.28,Health Care,CNC,"4,522,593",,,,,,,,,,,,,,
95,27.15,17.34 - 25.70,26.50 x 3100,"5,624,759",0.98,24.50 x 1400,06/08/2021,25.40 - 25.70,1.09,"Aug 04, 2021 - Aug 09, 2021","May 19, 2021",0.64 (2.50%),14.779B,CenterPoint Energy,25.65,23.44,25.58,Utilities,CNP,"5,474,688",,,,,,,,,,,,,,
96,81.50,65.14 - 84.20,79.55 x 1300,"2,692,985",0.73,79.54 x 800,06/08/2021,79.29 - 80.29,2.61,"Jul 27, 2021 - Aug 02, 2021","Jun 25, 2021",0.88 (1.11%),23.952B,Cerner,79.53,30.43,79.53,Health Care,CERN,"1,924,614",,,,,,,,,,,,,,
97,58.33,25.30 - 57.19,55.49 x 1100,"2,056,195",1.29,55.52 x 800,06/08/2021,54.40 - 55.96,1.86,"Aug 09, 2021","May 14, 2021",1.20 (2.16%),11.918B,CF Industries Holdings Inc,54.96,29.84,55.55,Materials,CF,"1,312,399",,,,,,,,,,,,,,
98,375.46,165.76 - 349.13,343.59 x 800,"601,320",1.14,343.30 x 800,06/08/2021,339.93 - 343.99,7.36,"Aug 03, 2021 - Aug 09, 2021",N/A,N/A (N/A),17.238B,Charles River Laboratories,342.22,46.58,340.24,Health Care,CRL,"293,519",,,,,,,,,,,,,,
99,81.39,31.63 - 76.37,75.60 x 800,"7,109,853",1.08,75.15 x 1200,06/08/2021,73.58 - 75.17,2.32,"Jul 14, 2021 - Jul 19, 2021","May 13, 2021",0.72 (0.96%),141.703B,Charles Schwab Corporation,74.15,32.41,74.73,Financials,SCHW,"7,317,083",,,,,,,,,,,,,,
100,740.78,498.08 - 712.41,679.84 x 1000,"991,929",0.98,677.90 x 1400,06/08/2021,672.31 - 683.80,17.69,"Jul 29, 2021 - Aug 02, 2021",N/A,N/A (N/A),127.899B,Charter Communications,681.86,38.32,680.56,Communication Services,CHTR,"548,589",,,,,,,,,,,,,,
101,120.33,65.16 - 113.11,108.84 x 1200,"10,034,187",1.30,108.75 x 800,06/08/2021,106.30 - 108.98,-4.12,"Jul 29, 2021 - Aug 02, 2021","May 18, 2021",5.36 (4.97%),209.638B,Chevron Corp.,107.65,N/A,107.75,Energy,CVX,"10,400,357",,,,,,,,,,,,,,
102,"1,723.04","964.50 - 1,579.52","1,349.00 x 1000","276,296",1.35,"1,335.01 x 800",06/08/2021,"1,328.80 - 1,352.80",14.27,"Jul 20, 2021 - Jul 26, 2021",N/A,N/A (N/A),37.627B,Chipotle Mexican Grill,"1,336.15",93.65,"1,323.26",Consumer Discretionary,CMG,"367,425",,,,,,,,,,,,,,
103,185.57,111.93 - 179.01,169.93 x 800,"2,248,601",0.71,169.79 x 1000,06/08/2021,168.23 - 170.13,12.32,"Jul 26, 2021 - Jul 30, 2021","Jun 17, 2021",3.20 (1.89%),76.367B,Chubb Limited,168.64,13.79,169.45,Financials,CB,"3,064,770",,,,,,,,,,,,,,
104,91.19,72.03 - 98.96,85.23 x 1100,"1,408,709",0.38,84.99 x 900,06/08/2021,84.98 - 86.47,3.08,"Jul 29, 2021 - Aug 02, 2021","May 13, 2021",1.01 (1.17%),20.878B,Church & Dwight,86.09,27.64,86.02,Consumer Staples,CHD,"1,449,492",,,,,,,,,,,,,,
105,295.25,158.84 - 272.81,246.76 x 800,"1,569,584",0.91,241.92 x 800,06/08/2021,244.26 - 247.83,23.27,"Aug 05, 2021","Jun 07, 2021",4.00 (1.62%),84.252B,Cigna,247.33,10.57,247.60,Health Care,CI,"1,661,968",,,,,,,,,,,,,,
106,115.20,58.27 - 124.37,123.53 x 1100,"723,262",0.67,123.45 x 1000,06/08/2021,121.58 - 123.88,18.85,"Jul 26, 2021 - Jul 30, 2021","Jun 16, 2021",2.52 (2.05%),19.881B,Cincinnati Financial,122.47,6.55,122.76,Financials,CINF,"495,613",,,,,,,,,,,,,,
107,373.63,254.07 - 369.20,347.37 x 1100,"389,207",1.48,347.06 x 1200,06/08/2021,345.61 - 348.70,9.14,"Jul 21, 2021 - Jul 26, 2021","May 13, 2021",3.00 (0.87%),36.499B,Cintas Corporation,347.95,38.03,346.80,Industrials,CTAS,"297,863",,,,,,,,,,,,,,
108,55.35,35.28 - 54.44,54.13 x 3200,"21,296,806",0.90,54.08 x 2200,06/08/2021,53.89 - 54.39,2.42,"Aug 10, 2021 - Aug 16, 2021","Jul 02, 2021",1.48 (2.74%),228.115B,Cisco Systems,53.97,22.38,53.92,Information Technology,CSCO,"15,329,693",,,,,,,,,,,,,,
109,85.43,40.49 - 80.29,79.30 x 1400,"17,881,940",1.92,79.10 x 800,06/08/2021,77.71 - 79.42,7.29,"Jul 14, 2021","Apr 30, 2021",2.04 (2.58%),163.462B,Citigroup Inc.,78.30,10.85,79.31,Financials,C,"14,618,765",,,,,,,,,,,,,,
110,51.65,22.53 - 51.14,49.41 x 1300,"4,973,798",1.78,49.50 x 800,06/08/2021,48.72 - 49.88,3.56,"Jul 20, 2021","Apr 28, 2021",1.56 (3.13%),21.13B,Citizens Financial Group,49.47,13.93,49.90,Financials,CFG,"4,541,747",,,,,,,,,,,,,,
111,148.29,111.26 - 173.56,118.85 x 1800,"1,193,292",0.10,118.51 x 1000,06/08/2021,117.41 - 118.89,3.28,"Jul 21, 2021 - Jul 26, 2021","Jun 10, 2021",1.48 (1.24%),14.706B,Citrix Systems,117.83,36.08,117.06,Information Technology,CTXS,"1,148,235",,,,,,,,,,,,,,
112,211.06,146.89 - 221.82,217.71 x 900,"1,382,731",0.45,217.48 x 900,06/08/2021,215.75 - 217.94,5.33,"Jul 27, 2021 - Aug 02, 2021","Jun 09, 2021",3.60 (1.65%),78.154B,CME Group Inc.,216.54,40.83,218.10,Financials,CME,"1,054,717",,,,,,,,,,,,,,
113,67.84,53.19 - 67.98,60.32 x 1100,"1,998,568",0.17,59.00 x 800,06/08/2021,59.35 - 62.51,3.01,"Aug 02, 2021 - Aug 06, 2021","May 06, 2021",1.74 (2.77%),17.463B,CMS Energy,62.30,20.08,62.80,Utilities,CMS,"10,500,229",,,,,,,,,,,,,,
114,59.53,43.51 - 56.48,55.69 x 2900,"15,941,645",0.61,55.66 x 3200,06/08/2021,55.54 - 56.28,1.67,"Jul 19, 2021 - Jul 23, 2021","Jun 14, 2021",1.68 (3.00%),239.945B,Coca-Cola Company,56.25,33.32,56.04,Consumer Staples,KO,"10,968,281",,,,,,,,,,,,,,
115,84.40,52.50 - 82.73,71.46 x 2900,"3,843,882",1.15,71.43 x 1200,06/08/2021,71.15 - 71.82,2.85,"Jul 27, 2021 - Aug 02, 2021","May 19, 2021",0.96 (1.34%),37.678B,Cognizant Technology Solutions,71.23,25.10,71.30,Information Technology,CTSH,"2,713,835",,,,,,,,,,,,,,
116,85.49,71.21 - 86.41,83.78 x 1000,"4,417,289",0.60,82.50 x 1400,06/08/2021,82.88 - 84.23,3.11,"Jul 30, 2021","Apr 20, 2021",1.80 (2.15%),70.156B,Colgate-Palmolive,84.06,26.67,83.90,Consumer Staples,CL,"3,233,301",,,,,,,,,,,,,,
117,64.27,37.77 - 59.11,56.52 x 3200,"17,579,987",1.04,56.43 x 3100,06/08/2021,56.13 - 56.94,2.53,"Jul 28, 2021 - Aug 02, 2021","Jul 06, 2021",1.00 (1.76%),259.256B,Comcast Corp.,56.79,22.30,56.92,Communication Services,CMCSA,"11,105,056",,,,,,,,,,,,,,
118,77.63,32.93 - 79.86,77.31 x 900,"1,529,982",1.64,64.32 x 900,06/08/2021,75.77 - 77.62,6.14,"Jul 21, 2021","Jun 14, 2021",2.72 (3.50%),10.774B,Comerica Inc.,76.91,12.57,77.69,Financials,CMA,"1,570,583",,,,,,,,,,,,,,
119,39.12,31.72 - 39.34,38.67 x 1800,"3,159,279",0.82,38.30 x 1000,06/08/2021,38.34 - 38.90,2.43,"Jun 28, 2021 - Jul 02, 2021","Apr 29, 2021",1.10 (2.84%),18.464B,Conagra Brands,38.78,15.83,38.79,Consumer Staples,CAG,"2,539,291",,,,,,,,,,,,,,
120,67.99,27.53 - 61.14,60.46 x 1800,"8,972,518",1.77,60.47 x 1000,06/08/2021,58.64 - 60.62,0.01,"Jul 28, 2021 - Aug 02, 2021","May 13, 2021",1.72 (2.88%),81.599B,ConocoPhillips,59.43,"10,078.33",59.81,Energy,COP,"7,345,202",,,,,,,,,,,,,,
121,75.05,65.56 - 83.92,76.55 x 900,"2,262,256",0.15,76.15 x 1000,06/08/2021,76.21 - 77.39,3.39,"Aug 04, 2021 - Aug 09, 2021","May 18, 2021",3.10 (4.01%),26.153B,Consolidated Edison,77.26,22.51,77.31,Utilities,ED,"1,440,538",,,,,,,,,,,,,,
122,260.86,160.63 - 244.75,238.68 x 800,"1,064,876",1.20,235.11 x 800,06/08/2021,237.43 - 240.10,10.32,"Jun 23, 2021 - Jun 28, 2021","May 03, 2021",3.04 (1.27%),45.933B,Constellation Brands,240.00,23.09,239.08,Consumer Staples,STZ,"710,821",,,,,,,,,,,,,,
123,144.75,78.55 - 130.96,124.38 x 800,"1,051,387",1.03,124.32 x 1000,06/08/2021,123.55 - 124.93,3.52,"Aug 31, 2021 - Sep 06, 2021",N/A,N/A (N/A),29.423B,Copart Inc,124.48,35.32,124.34,Industrials,CPRT,"562,875",,,,,,,,,,,,,,
124,48.82,25.11 - 46.82,43.06 x 2200,"4,611,615",1.16,43.05 x 1800,06/08/2021,42.73 - 43.33,1.41,"Jul 26, 2021 - Jul 30, 2021","May 27, 2021",0.96 (2.25%),36.617B,Corning Inc.,42.86,30.50,42.60,Information Technology,GLW,"5,098,971",,,,,,,,,,,,,,
125,49.00,24.83 - 49.98,46.45 x 900,"3,246,987",N/A,45.94 x 800,06/08/2021,45.47 - 46.35,-1.28,"Aug 03, 2021 - Aug 09, 2021","May 13, 2021",0.52 (1.13%),33.833B,Corteva,45.77,N/A,45.93,Materials,CTVA,"2,366,806",,,,,,,,,,,,,,
126,408.41,293.84 - 393.15,379.70 x 1100,"2,507,175",0.64,379.20 x 800,06/08/2021,377.69 - 381.04,10.64,"May 27, 2021","Apr 29, 2021",3.16 (0.83%),167.854B,Costco Wholesale Corp.,380.41,35.69,380.40,Consumer Staples,COST,"1,554,048",,,,,,,,,,,,,,
127,195.94,146.15 - 198.98,196.36 x 800,"1,813,212",0.37,190.00 x 900,06/08/2021,195.95 - 198.98,2.10,"Jul 27, 2021 - Aug 02, 2021","Jun 11, 2021",5.32 (2.69%),84.83B,Crown Castle,198.70,93.69,198.04,Real Estate,CCI,"1,625,768",,,,,,,,,,,,,,
128,106.39,65.37 - 104.87,99.05 x 900,"3,605,132",1.16,98.21 x 1800,06/08/2021,97.07 - 98.66,3.53,"Jul 20, 2021 - Jul 26, 2021","May 27, 2021",1.12 (1.14%),74.339B,CSX Corp.,98.06,27.81,98.07,Industrials,CSX,"4,966,559",,,,,,,,,,,,,,
129,292.17,160.61 - 277.09,269.50 x 900,"1,004,157",1.08,259.37 x 800,06/08/2021,256.07 - 260.36,12.66,"Jul 26, 2021 - Jul 30, 2021","May 20, 2021",5.40 (2.08%),38.001B,Cummins Inc.,259.01,20.52,259.22,Industrials,CMI,"524,226",,,,,,,,,,,,,,
130,93.58,55.36 - 90.61,85.90 x 900,"7,180,042",0.82,85.67 x 800,06/08/2021,85.12 - 86.11,5.61,"Aug 03, 2021 - Aug 09, 2021","Apr 22, 2021",2.00 (2.32%),112.975B,CVS Health,86.06,15.28,86.33,Health Care,CVS,"4,270,306",,,,,,,,,,,,,,
131,108.50,50.93 - 106.89,93.25 x 1000,"3,180,881",1.65,92.35 x 1400,06/08/2021,92.21 - 93.26,8.63,"Jul 26, 2021 - Jul 30, 2021","May 07, 2021",0.80 (0.87%),33.485B,D. R. Horton,93.60,10.77,92.33,Consumer Discretionary,DHI,"1,673,417",,,,,,,,,,,,,,
132,291.74,164.51 - 261.43,240.82 x 900,"2,520,839",0.64,240.38 x 800,06/08/2021,239.05 - 241.83,6.37,"Jul 21, 2021 - Jul 26, 2021","Jun 24, 2021",0.84 (0.35%),171.33B,Danaher Corp.,241.64,37.73,240.24,Health Care,DHR,"2,009,564",,,,,,,,,,,,,,
133,155.79,68.68 - 149.73,141.75 x 800,"1,549,276",1.53,138.52 x 1100,06/08/2021,137.83 - 142.01,-1.70,"Jun 23, 2021 - Jun 28, 2021","Apr 08, 2021",1.55 (1.16%),18.417B,Darden Restaurants,137.83,N/A,137.29,Consumer Discretionary,DRI,"1,096,519",,,,,,,,,,,,,,
134,123.71,75.30 - 129.59,120.48 x 800,"647,570",1.29,118.10 x 800,06/08/2021,117.54 - 119.67,6.47,"Jul 28, 2021 - Aug 02, 2021",N/A,N/A (N/A),12.688B,DaVita Inc.,118.53,18.47,118.68,Health Care,DVA,"573,982",,,,,,,,,,,,,,
135,410.89,148.12 - 400.34,356.79 x 1000,"1,654,406",1.05,356.25 x 800,06/08/2021,352.42 - 359.47,14.50,"Aug 20, 2021","Jun 29, 2021",3.60 (1.01%),111.232B,Deere & Co.,356.92,24.58,355.43,Industrials,DE,"1,521,982",,,,,,,,,,,,,,
136,54.65,24.38 - 52.28,46.97 x 3200,"11,833,321",1.46,46.96 x 1800,06/08/2021,46.38 - 47.38,-20.51,"Jul 12, 2021 - Jul 16, 2021","Feb 19, 2020",N/A (N/A),30.089B,Delta Air Lines Inc.,47.26,N/A,46.08,Industrials,DAL,"10,489,214",,,,,,,,,,,,,,
137,74.23,40.15 - 69.54,65.71 x 1000,"1,623,021",0.93,65.70 x 900,06/08/2021,64.84 - 65.93,0.79,"Aug 04, 2021 - Aug 09, 2021","Jun 24, 2021",0.44 (0.67%),14.348B,Dentsply Sirona,65.35,83.51,65.52,Health Care,XRAY,"722,118",,,,,,,,,,,,,,
138,33.23,7.73 - 31.99,30.90 x 2200,"11,379,440",3.35,30.84 x 2900,06/08/2021,30.12 - 31.11,-1.49,"Aug 02, 2021 - Aug 06, 2021","Jun 11, 2021",1.36 (4.30%),20.882B,Devon Energy,30.49,N/A,30.92,Energy,DVN,"9,744,860",,,,,,,,,,,,,,
139,476.30,305.63 - 456.23,393.10 x 800,"787,707",0.75,389.67 x 1000,06/08/2021,384.62 - 393.31,5.20,"Jul 26, 2021 - Jul 30, 2021",N/A,N/A (N/A),37.71B,DexCom,388.29,74.92,386.98,Health Care,DXCM,"804,083",,,,,,,,,,,,,,
140,102.91,23.63 - 90.18,89.70 x 800,"2,617,465",2.75,89.00 x 900,06/08/2021,85.10 - 90.18,-25.24,"Aug 02, 2021 - Aug 06, 2021","May 12, 2021",1.60 (1.86%),16.225B,Diamondback Energy,87.18,N/A,87.19,Energy,FANG,"2,686,272",,,,,,,,,,,,,,
141,162.21,124.65 - 165.49,162.24 x 900,"1,360,559",0.11,160.21 x 800,06/08/2021,158.41 - 160.80,1.56,"Jul 28, 2021 - Aug 02, 2021","Jun 14, 2021",4.64 (2.93%),45.06B,Digital Realty Trust Inc,158.98,102.45,158.50,Real Estate,DLR,"1,680,153",,,,,,,,,,,,,,
142,118.76,45.40 - 124.92,125.00 x 800,"2,196,987",1.83,122.22 x 800,06/08/2021,121.26 - 124.92,8.89,"Jun 29, 2021 - Jul 05, 2021","May 19, 2021",1.76 (1.42%),37.864B,Discover Financial Services,122.55,13.96,123.59,Financials,DFS,"1,669,339",,,,,,,,,,,,,,
143,43.26,19.07 - 78.14,30.22 x 900,"16,905,067",1.37,30.08 x 3200,06/08/2021,29.94 - 31.31,1.12,"Aug 03, 2021 - Aug 09, 2021",N/A,N/A (N/A),14.817B,Discovery Inc. (Series A),31.22,26.89,31.24,Communication Services,DISCA,"12,106,477",,,,,,,,,,,,,,
144,36.00,17.21 - 66.70,28.31 x 900,"10,389,226",1.37,28.16 x 3000,06/08/2021,28.06 - 29.41,1.12,"Nov 05, 2020",N/A,N/A (N/A),14.826B,Discovery Inc. (Series C),29.41,25.27,29.34,Communication Services,DISCK,"7,144,175",,,,,,,,,,,,,,
145,49.29,24.51 - 47.05,43.75 x 800,"3,618,304",2.15,43.58 x 900,06/08/2021,43.24 - 45.23,3.88,"Aug 05, 2021 - Aug 09, 2021","Dec 12, 2012",N/A (N/A),22.997B,Dish Network,45.01,11.24,45.03,Communication Services,DISH,"4,059,908",,,,,,,,,,,,,,
146,237.96,173.50 - 225.25,205.87 x 800,"2,334,409",0.51,204.72 x 800,06/08/2021,204.79 - 207.14,10.88,"Aug 25, 2021 - Aug 30, 2021","Jul 02, 2021",1.68 (0.82%),48.592B,Dollar General,207.14,18.91,206.00,Consumer Discretionary,DG,"1,483,654",,,,,,,,,,,,,,
147,118.42,84.41 - 120.37,101.34 x 1300,"1,872,412",0.86,100.97 x 1300,06/08/2021,100.10 - 101.94,6.21,"Aug 25, 2021 - Aug 30, 2021",N/A,N/A (N/A),23.499B,Dollar Tree,100.33,16.31,100.35,Consumer Discretionary,DLTR,"2,900,085",,,,,,,,,,,,,,
148,84.57,67.85 - 87.29,76.69 x 800,"3,705,496",0.36,75.89 x 1200,06/08/2021,75.28 - 76.66,0.97,"Jul 29, 2021 - Aug 02, 2021","Jun 03, 2021",2.52 (3.30%),61.143B,Dominion Energy,76.59,78.48,76.41,Utilities,D,"3,136,450",,,,,,,,,,,,,,
149,438.58,319.71 - 452.88,449.53 x 900,"640,656",0.48,437.16 x 900,06/08/2021,439.82 - 452.88,12.32,"Jul 14, 2021 - Jul 19, 2021","Jun 14, 2021",3.76 (0.86%),17.215B,Domino's Pizza,439.99,35.98,437.92,Consumer Discretionary,DPZ,"684,517",,,,,,,,,,,,,,
150,161.42,90.03 - 155.77,152.33 x 1000,"686,585",1.35,151.99 x 1100,06/08/2021,150.28 - 152.20,5.10,"Jul 20, 2021 - Jul 26, 2021","May 27, 2021",1.98 (1.31%),21.88B,Dover Corporation,151.21,29.81,151.63,Industrials,DOV,"417,163",,,,,,,,,,,,,,
151,66.40,37.68 - 71.38,69.43 x 800,"4,465,050",1.75,68.35 x 800,06/08/2021,68.31 - 69.72,2.65,"Jul 21, 2021 - Jul 26, 2021","May 27, 2021",2.80 (3.98%),51.826B,Dow Inc.,69.02,26.21,69.24,Materials,DOW,"3,469,512",,,,,,,,,,,,,,
152,144.33,102.19 - 145.43,139.22 x 1000,"884,407",0.63,136.73 x 1000,06/08/2021,136.53 - 138.13,7.36,"Jul 26, 2021 - Jul 30, 2021","Jun 18, 2021",4.34 (3.15%),26.634B,DTE Energy Co.,138.03,18.68,137.85,Utilities,DTE,"933,078",,,,,,,,,,,,,,
153,105.66,77.58 - 108.00,100.62 x 1200,"3,648,423",0.24,100.18 x 800,06/08/2021,100.44 - 102.14,1.77,"Aug 09, 2021 - Aug 13, 2021","May 13, 2021",3.86 (3.79%),77.376B,Duke Energy,102.14,56.96,101.86,Utilities,DUK,"2,805,883",,,,,,,,,,,,,,
154,49.50,34.01 - 49.10,48.98 x 1100,"2,021,828",0.53,44.35 x 1000,06/08/2021,48.71 - 49.10,0.96,"Jul 27, 2021 - Aug 02, 2021","May 13, 2021",1.02 (2.10%),18.356B,Duke Realty Corp,48.62,50.83,48.61,Real Estate,DRE,"1,490,486",,,,,,,,,,,,,,
155,89.95,49.01 - 87.27,84.87 x 2900,"3,042,681",1.31,83.00 x 800,06/08/2021,83.62 - 85.33,4.35,"Jul 28, 2021 - Aug 02, 2021","May 27, 2021",1.20 (1.41%),45.152B,DuPont de Nemours Inc,84.47,19.50,84.97,Materials,DD,"2,353,462",,,,,,,,,,,,,,
156,39.92,14.73 - 40.72,40.71 x 900,"2,326,262",2.47,39.97 x 1400,06/08/2021,39.85 - 40.62,-0.59,"Aug 04, 2021 - Aug 09, 2021","Mar 24, 2020",N/A (N/A),10.276B,DXC Technology,40.02,N/A,40.36,Information Technology,DXC,"2,150,392",,,,,,,,,,,,,,
157,130.11,65.86 - 130.47,128.62 x 1200,"841,123",1.53,124.76 x 1000,06/08/2021,126.09 - 129.23,3.61,"Aug 02, 2021 - Aug 06, 2021","Jun 14, 2021",2.76 (2.16%),17.511B,Eastman Chemical,127.67,35.59,127.84,Materials,EMN,"504,521",,,,,,,,,,,,,,
158,160.47,82.44 - 149.38,147.27 x 1000,"2,068,968",1.15,144.68 x 1000,06/08/2021,145.34 - 147.95,3.56,"Jul 27, 2021 - Aug 02, 2021","May 13, 2021",3.04 (2.07%),58.627B,Eaton Corporation,146.81,41.38,146.85,Industrials,ETN,"1,327,491",,,,,,,,,,,,,,
159,69.39,45.36 - 65.94,65.89 x 1200,"7,672,390",1.14,65.66 x 3100,06/08/2021,65.26 - 65.94,4.12,"Jul 26, 2021 - Jul 30, 2021","May 28, 2021",0.72 (1.10%),44.827B,eBay Inc.,65.52,15.96,65.45,Consumer Discretionary,EBAY,"5,712,310",,,,,,,,,,,,,,
160,231.29,181.25 - 230.00,213.59 x 800,"1,052,582",0.99,211.54 x 800,06/08/2021,211.48 - 213.82,-4.53,"Jul 26, 2021 - Aug 02, 2021","Jun 14, 2021",1.92 (0.90%),60.733B,Ecolab Inc.,213.79,N/A,212.96,Materials,ECL,"707,494",,,,,,,,,,,,,,
161,71.09,48.47 - 66.68,57.39 x 800,"1,930,160",0.60,56.51 x 800,06/08/2021,55.80 - 56.95,2.16,"Jul 26, 2021 - Jul 30, 2021","Mar 30, 2021",2.65 (4.71%),21.548B,Edison Int'l,56.22,26.28,56.21,Utilities,EIX,"1,928,292",,,,,,,,,,,,,,
162,99.38,66.23 - 98.11,97.01 x 800,"2,621,665",1.09,97.01 x 800,06/08/2021,95.89 - 97.40,1.35,"Jul 21, 2021 - Jul 26, 2021",N/A,N/A (N/A),60.286B,Edwards Lifesciences,96.98,71.89,96.34,Health Care,EW,"1,898,331",,,,,,,,,,,,,,
163,162.93,110.15 - 150.30,146.17 x 800,"2,237,740",0.89,143.62 x 1300,06/08/2021,145.22 - 147.26,2.87,"Jul 28, 2021 - Aug 02, 2021","Jun 01, 2021",0.68 (0.47%),41.641B,Electronic Arts,146.45,50.70,145.72,Communication Services,EA,"1,157,937",,,,,,,,,,,,,,
164,104.05,58.67 - 99.09,98.56 x 800,"2,789,362",1.55,98.40 x 800,06/08/2021,97.20 - 99.09,3.55,"Aug 02, 2021 - Aug 06, 2021","May 13, 2021",2.02 (2.06%),59.076B,Emerson Electric Company,97.80,27.79,97.87,Industrials,EMR,"2,562,254",,,,,,,,,,,,,,
165,190.61,37.81 - 229.04,139.30 x 900,"3,328,850",1.14,137.40 x 3000,06/08/2021,135.13 - 141.61,0.67,"Aug 02, 2021 - Aug 06, 2021",N/A,N/A (N/A),18.883B,Enphase Energy,138.36,206.76,137.47,Information Technology,ENPH,"1,612,277",,,,,,,,,,,,,,
166,117.72,85.78 - 113.36,106.28 x 800,"1,222,782",0.54,105.98 x 1100,06/08/2021,105.27 - 106.59,7.97,"Jul 27, 2021 - Aug 02, 2021","May 05, 2021",3.80 (3.57%),21.296B,Entergy Corp.,106.46,13.32,106.59,Utilities,ETR,"869,679",,,,,,,,,,,,,,
167,90.74,31.22 - 87.99,87.67 x 1100,"4,022,104",2.16,87.40 x 1000,06/08/2021,84.40 - 87.70,0.11,"Aug 04, 2021 - Aug 09, 2021","Jul 15, 2021",1.65 (1.90%),51.001B,EOG Resources,85.17,809.17,87.03,Energy,EOG,"3,019,063",,,,,,,,,,,,,,
168,245.44,135.98 - 242.13,230.14 x 800,"721,862",1.42,226.59 x 800,06/08/2021,226.27 - 229.96,4.93,"Jul 20, 2021 - Jul 26, 2021","May 24, 2021",1.56 (0.68%),27.959B,Equifax Inc.,229.24,46.59,228.72,Industrials,EFX,"597,507",,,,,,,,,,,,,,
169,839.23,586.73 - 839.77,817.19 x 800,"471,178",0.28,803.19 x 1100,06/08/2021,799.99 - 818.33,4.56,"Jul 27, 2021 - Aug 02, 2021","May 18, 2021",11.48 (1.44%),73.156B,Equinix,799.99,179.25,795.06,Real Estate,EQIX,"619,795",,,,,,,,,,,,,,
